,Professor,Audio File Name,Transcripts File Name,file size ,Audio_file_length
108,Prof_Sunando_Dasgupta,"['Lecture_4_Relevant_Boundary_Conditions_in_Conduction.mp3', 'Lecture_3_Heat_Diffusion_Equation.mp3', 'Lecture_2_Introduction_to_Heat_Transfer-Contd-.mp3', 'Lecture_1_Introduction_to_Heat_Transfer.mp3']","['Lecture_4_Relevant_Boundary_Conditions_in_Conduction.txt', 'Lecture_3_Heat_Diffusion_Equation.txt', 'Lecture_1_Introduction_to_Heat_Transfer.txt', 'Lecture_2_Introduction_to_Heat_Transfer-Contd-.txt']",4,"[2739.2522448979594, 1891.1869387755103, 2066.4163265306124, 2008.7902040816327]"
109,Dr._AK_Gosain,"['Drip_Irrigation_System-I.mp3', 'Drip_Irrigation_System-II.mp3', 'Drip_Irrigation_System-III.mp3']","['Drip_Irrigation_System-III.txt', 'Drip_Irrigation_System-II.txt', 'Drip_Irrigation_System-I.txt']",3,"[1169.7110204081632, 3314.050612244898, 3303.549387755102]"
110,Prof._S._R._Chakravarthy,"['Mod-01_Lec-04_Dissociation_of_Products_Role_of_Pressure.mp3', 'Mod-01_Lec-02_Chemical_Reactions_Heats_of_Reaction_and_Formation.mp3', 'Mod-01_Lec-03_Sensible_Enthalpy_and_Adiabatic_Flame_Temperature.mp3']","['Mod-01_Lec-03_Sensible_Enthalpy_and_Adiabatic_Flame_Temperature.txt', 'Mod-01_Lec-04_Dissociation_of_Products_Role_of_Pressure.txt', 'Mod-01_Lec-02_Chemical_Reactions_Heats_of_Reaction_and_Formation.txt']",3,"[2956.721632653061, 3060.688979591837, 3103.0073469387753]"
111,Prof._Nina_Sabnani,"['Lecture_4_Equality_and_Empathy.mp3', 'Lecture_1_Introduction.mp3', 'Week_2_Lecture_6_Conclusion.mp3', 'Lecture_6_Objectivity_and_Subjectivity.mp3', 'Week_3_Lecture_1_Introduction.mp3', 'Week_2_Lecture_5_Fundamental_Concepts-cotd-.mp3', 'Week_2_Lecture_2_The_Ethnographic_Process.mp3', 'Lecture_2_Situating_Ethnography.mp3', 'Week_2_Lecture_1_Introduction.mp3', 'Lecture_3_Engaging_with_the_Other.mp3', 'Week_2_Lecture_4_Fundamental_Concepts.mp3', 'Lecture_5_Notions_of_Reality.mp3', 'Week_3_Lecture_2_The_Research_Question.mp3', 'Week_2_Lecture_3_Ethnography_Process_or_Product.mp3', 'Lecture_7_Conclusion.mp3']","['Lecture_3_Engaging_with_the_Other.txt', 'Lecture_1_Introduction.txt', 'Week_2_Lecture_4_Fundamental_Concepts.txt', 'Week_2_Lecture_2_The_Ethnographic_Process.txt', 'Lecture_2_Situating_Ethnography.txt', 'Lecture_7_Conclusion.txt', 'Lecture_6_Objectivity_and_Subjectivity.txt', 'Week_2_Lecture_1_Introduction.txt', 'Week_3_Lecture_1_Introduction.txt', 'Lecture_4_Equality_and_Empathy.txt', 'Week_3_Lecture_2_The_Research_Question.txt', 'Lecture_5_Notions_of_Reality.txt', 'Week_2_Lecture_5_Fundamental_Concepts-cotd-.txt', 'Week_2_Lecture_6_Conclusion.txt', 'Week_2_Lecture_3_Ethnography_Process_or_Product.txt']",15,"[499.069387755102, 459.38938775510206, 20.34938775510204, 494.5763265306122, 180.53224489795917, 1277.9624489795917, 740.4408163265306, 411.68979591836734, 142.55020408163264, 294.87020408163266, 623.229387755102, 408.39836734693876, 524.6693877551021, 367.83020408163264, 95.3991836734694]"
112,Prof._J._Ramkumar,"['noc19-me24_Lec_2-Introduction_to_Rapid_Manufacturing-Part_2_of_3-.mp3', 'noc19-me24_Lec_1-Introduction_to_Rapid_Manufacturing-Part_1_of_3-.mp3', 'noc19-me24_Lec_3-Introduction_to_Rapid_Manufacturing-Part_3_of_3-.mp3']","['noc19-me24_Lec_3-Introduction_to_Rapid_Manufacturing-Part_3_of_3-.txt', 'noc19-me24_Lec_1-Introduction_to_Rapid_Manufacturing-Part_1_of_3-.txt', 'noc19-me24_Lec_2-Introduction_to_Rapid_Manufacturing-Part_2_of_3-.txt']",3,"[3242.7885714285712, 2855.9673469387753, 2460.5779591836736]"
113,Prof._K.L._Sebastian,"['Mod-01_Lec-03_Path_Integrals_and_Schrodinger_Equation.mp3', 'Mod-01_Lec-04_Postulates-Part1.mp3', 'Mod-01_Lec-02_Standing_Waves.mp3']","['Mod-01_Lec-03_Path_Integrals_and_Schrodinger_Equation.txt', 'Mod-01_Lec-04_Postulates-Part1.txt', 'Mod-01_Lec-02_Standing_Waves.txt']",3,"[3025.1885714285713, 2589.1526530612246, 2961.867755102041]"
114,Madhavan_Mukand,"['downloading_and_installing_python.mp3', 'euclids_algorithm_for_gcd.mp3', 'improving_naive_gcd.mp3', 'assignment_statement_basic_types-int_float_bool.mp3', 'lists.mp3', 'strings.mp3']","['euclids_algorithm_for_gcd.txt', 'assignment_statement_basic_types-int_float_bool.txt', 'improving_naive_gcd.txt', 'downloading_and_installing_python.txt', 'strings.txt', 'lists.txt']",6,"[1232.3526530612246, 1384.6204081632652, 782.3412244897959, 1268.1404081632654, 1683.6179591836735, 1249.8808163265305]"
115,Prof_Deepak_Khemani,"['Introduction_to_AI.mp3', 'AI_Introduction_Philosophy.mp3', 'AI_Introduction.mp3']","['AI_Introduction_Philosophy.txt', 'Introduction_to_AI.txt', 'AI_Introduction.txt']",3,"[3064.241632653061, 2601.6391836734692, 3148.460408163265]"
116,Prof._K._Rajagopal,"['Mod-01_Lec-02_Types_and_Functions_of_Geosynthetics.mp3', 'Mod-01_Lec-03_Polymers_in_Geosynthetics_and_Manufacturing_Techniques.mp3', 'Mod-01_Lec-04_Strength_Analysis_of_Reinforced_Soils-I.mp3']","['Mod-01_Lec-02_Types_and_Functions_of_Geosynthetics.txt', 'Mod-01_Lec-03_Polymers_in_Geosynthetics_and_Manufacturing_Techniques.txt', 'Mod-01_Lec-04_Strength_Analysis_of_Reinforced_Soils-I.txt']",3,"[3060.5061224489796, 3116.1208163265305, 2800.770612244898]"
117,Prof._Ashok_N._Bhaskarwar,"['Surface_Tension_Free_Energies_and_Adsorption.mp3', 'Spreading_from_Liquids_and_Solids.mp3', 'Properties_over_Curved_Surfaces.mp3']","['Properties_over_Curved_Surfaces.txt', 'Spreading_from_Liquids_and_Solids.txt', 'Surface_Tension_Free_Energies_and_Adsorption.txt']",3,"[2577.6326530612246, 2836.0881632653063, 2900.4016326530614]"
118,Prof._Sulochana_Gadgil,"['Mod-01_Lec-03_Monsoon_variability_through_the_eye_in_the_sky.mp3', 'Mod-01_Lec-02_Nature_of_the_variability_of_the_Indian_Monsoon.mp3', 'Mod-02_Lec-04_Background_about_the_atmosphere_and_rotating_systems.mp3']","['Mod-01_Lec-02_Nature_of_the_variability_of_the_Indian_Monsoon.txt', 'Mod-02_Lec-04_Background_about_the_atmosphere_and_rotating_systems.txt', 'Mod-01_Lec-03_Monsoon_variability_through_the_eye_in_the_sky.txt']",3,"[2959.9608163265307, 3171.2914285714287, 2831.9085714285716]"
119,Dr._Trupti_Mishra,"['Mod-01_Lec-03_Introduction_to_Managerial_Economics.mp3', 'Mod-01_Lec-04_Basic_Tools_of_Economic_Analysis_and_Optimization_Techniques.mp3', 'Mod-01_Lec-02_Introduction_to_Managerial_Economics.mp3']","['Mod-01_Lec-03_Introduction_to_Managerial_Economics.txt', 'Mod-01_Lec-04_Basic_Tools_of_Economic_Analysis_and_Optimization_Techniques.txt', 'Mod-01_Lec-02_Introduction_to_Managerial_Economics.txt']",3,"[3266.351020408163, 3185.711020408163, 3160.4767346938775]"
120,Prof._K._Ramesh_IIT_Madras,"['Lec_02_Introduction_to_Engineering_Mechanics_II.mp3', 'Lec_01_Introduction_to_Engineering_Mechanics_I.mp3', 'Lec_03_Force_Systems_I.mp3']","['Lec_01_Introduction_to_Engineering_Mechanics_I.txt', 'Lec_03_Force_Systems_I.txt', 'Lec_02_Introduction_to_Engineering_Mechanics_II.txt']",3,"[2848.2873469387755, 2120.1502040816326, 2874.1485714285714]"
121,Prof.v.M.Gadre,"['Mod-01_Lec-02_The_Haar_Wavelet.mp3', 'Mod-01_Lec-04_Wavelets_And_Multirate_Digital_Signal_Processing.mp3', 'Mod-01_Lec-03_The_Haar_Multiresolution_Analysis.mp3']","['Mod-01_Lec-03_The_Haar_Multiresolution_Analysis.txt', 'Mod-01_Lec-04_Wavelets_And_Multirate_Digital_Signal_Processing.txt', 'Mod-01_Lec-02_The_Haar_Wavelet.txt']",3,"[3603.591836734694, 3176.1502040816326, 3148.8522448979593]"
